,Unnamed: 0,reviews,polarity,tags
0,0,australia friday night went online book flight heathrow malpensa milan realise specifically searched flights malpensa offered options airports milan received itinerary email another airport milan itinerary email provide means contact changes advise 24 hour cooling period weekend unable reach office monday advised refund fees missed 24 hour cooling period apparently ticket issued uk needed contact cancelled ticket going way future avoid flying british airways,-0.1125,Negative
1,1,7 54 day travel whilst driving london heathrow received email advising flight cancelled offered alternative flight american airlines alternative accept must travel today flying la see family member end life american airlines desk downgrade cabin premium economy economy tried 3 times ba provide telephone number total useless help given wrong email address sending complains given email ba frequent flyer decades loyal customer find travelling 11 hours economy without even possibility refund let alone upgrade completely unacceptable happened company better treatment ryanair,0.003703703703703703,Positive
2,2,would happily fly personal emergency allowed reschedule flights free charge onboard service lhr ist frills jfk lhr impeccable good food lots movies cds ife open bar service entire flight friendly flight attendants always happy provide extra drink snack,0.3825,Positive
3,3,flew premium worth extra money bit extra room penny pinching means benefit one drink service 10 hour flight fizz offered take poor food boarding badly organised food left tables 30 min landing tea coffee offered small cups water passed around nothing premium new planes decorated terribly feels like dentist waiting room devoid personality joy fly option fly premium expensive seriously worth much economy days especially middle 4,0.022727272727272735,Positive
4,4,first morning flight cancelled moved afternoon flight understanding sometimes situations unavoidable however lost us one day experience cairo quite upset got onto plane squashed regular seats flights husband spasms stretch legs across lap attendants ask okay clearly struggling service came us food choice made told settle left correct thing home sent complaints responded 100 pound voucher group,0.16999999999999998,Positive
5,5,although bit uncomfortable flight economy flight attendants made flight best possibly could nice professional crew attentive looking customers,0.26666666666666666,Positive
6,6,boarding decently organised a380 still rather strange configuration club world neighbour sitting opposite position a380 nearly full rather poor amenity bag welcome drink ok rather long waiting aperitive made pantry meal ok great aside champagne european wines flight service friendly rather slow spontaneous refills drinks offered acceptable continental style breakfast extremely narrow restrooms without lotions similar acceptable experience nothing landing 50 minutes waiting luggage labelled priority,0.19322916666666665,Positive
7,7,boarding time departure time flight london heathrow ok a320 rather narrow seats business light meal caesars salad mousse sweet choice drinks nothing wrong short flight fa friendly landing time,0.13214285714285712,Positive
8,8,original flight cancelled 2 weeks actual flight although alternative flights available british airways affected trip planned feels like ba favour passengers rather paid deliver service,0.19375,Positive
9,9,delayed change poor communication british airways sells premium prices flight tickets delivers better low cost airline customer service impossible contact seems ba tries hard hide possible email communication address available,-0.06203703703703703,Negative
10,10,competent check staff saw problem left arm insisted could take exit seat moved row 30 middle seat empty hand board huge line toilets 45 min 2 30 min flight crew member realised one toilets closed crew put luggage announced could serve hot drinks flight bear service slow asking give us enough cups hot drinks card machine working fill credit card slip bottle water nutrigrain bar,0.09,Positive
11,11,check slow self check bag drop boarding ok flight totally full booked row 9 ok space overhead bins seat legroom ok cabin crew ok smiled gave bottle water pretzels flight ok landed 25 mins early waited 30 minutes stand ground crew bags came reasonably quickly ba still seems believe something special premium carrier reality reason flew ba got virtually free tickets flights cancelled last year ba carrier last choice,0.3100340136054422,Positive
12,12,review relates appalling experiences british airways 14th february 2023 due travel madrid british airways setting heard radio flight delays looked heathrow airport website saw flight cancelled result information website called british airways 26 minutes hold found speaking somebody call centre south africa person hard understand due heavy accent incompetent insisted flight cancelled made way heathrow sure enough flight indeed cancelled woman question audacity declare flight cancelled facilities airport rebook refused let 12 people join queue clearly marked assistance desk woman one colleagues gave card telephone number told one rather elderly gentleman go online rebook seat visually impaired found attitude ba employee appalling called number card employee gave long queue call centre person picked phone kept waiting 22 minutes declared flight cancelled airport must wrong flippant tone said informed flight indeed cancelled would go speak iberia customer services heathrow rebook took elderly gentleman iberia counter staff member rolled eyes disgust said nothing iberia returned ba time joined check line told check agent happened man question booked onto next available flight within matter minutes gave 30 voucher form compensation said could add frequent flyer number partner airline voucher proved useless afraid various shops predepature area refused accept although told could use clearing security none shops would accept aboard new flight service minimal tiny bottle water packet pretzels nothing else available full flight many people transferred cancelled flight ba cabin crew announced additional items small bottle water pretzels ordered via skyshop,-0.030176767676767677,Negative
13,13,first time flying ba pleasantly surprised islamabad via doha comfortable crew great friendly helpful second flight operated qatar airways doha islamabad return journey direct ba flight 46kg luggage allowance really generous stopped hassle connecting flights crew flight really nice let ba food really nice ife could content really huge issue,0.3477272727272727,Positive
14,14,lots cancellations delays one apologized edinburgh london feb 14th 2023 original flight cancelled rebooked one cancelled well third rebooked one supposed departure 12 50 several delays 2 24 wait 57 minutes luggage arrive,0.125,Positive
15,15,ba 242 6 2 23 boarding delayed due late arrival incoming flight communication ground staff excellent keep us informed flight services excellent crews friendly excellent service overall happy ba,0.46875,Positive
16,16,nly first flight 17 years also first time back england 17 years flew pmi lgw 21 01 2023 returned 29 01 2023 wizz air easyjet offered inconvenient flight times charged flights worth baggage british airways convenient best value option available offered ideal flight times 18 charge per flight baggage reasonable total cost flights 126 regular update information via email seamless online seat allocation check efficient staff check desks pmi lgw ensured long queues dealt quickly humanly possible immaculate aircraft comfortable leather seats adequate legroom 6 4 tall cabin crew polite friendly professional flight food drinks good quality reasonably priced enjoyed meat ploughman ipa beer 10 total flights flown 80 times last 50 years different airlines various propeller jet aircraft well one lgw lhr helicopter transfer flying totally different experience back day age budget airline nostalgia aside british airways best airline flown,0.21194444444444446,Positive
17,17,husband flying madrid 3rd february legal matter madrid 13 00 pm booked flight car ba holidays unfortunately chose parking never used got lost missed 6 00 flight madrid tried stay calm cold head went british airways get help first lady spoke asked done booking ba holidays know gave us number call told us anything else call number called number asking us call another number message opening hours 8 till 4 pm went back lady explained wait 8 told us could anything reach another staff lovely young lady called althea started look made several calls went check someone else office managed get someone send text message call got answered lovely lady line modified booking place us following flight 7 30 charge us car reservation flight back maintained made madrid without support lovely althea professionalism care us would make sweet caring time determined help sure went beyond role responsibilities,0.12352941176470589,Positive
18,18,organised boarding process really friendly crew quick drink snack great experience crew credit ba best crew europe,0.6270833333333333,Positive
